region,year,age_group,cause,deaths
3_sear,2001,u5,5,58148.73875144124
6_wpr,2001,u5,5,4862.410072278231
1_afr,2001,u5,5,51045.82122504711
4_eur,2001,u5,5,351.98328948020935
5_emr,2002,u5,5,33520.40124028176
3_sear,2002,u5,5,51401.96596246958
4_eur,2002,u5,5,306.8536117076874
1_afr,2002,u5,5,45855.67183145881
6_wpr,2002,u5,5,3876.9454777240753
2_amr,2002,u5,5,578.5721625089645
6_wpr,2003,u5,5,3160.6339846923947
4_eur,2003,u5,5,269.0051078796387
3_sear,2003,u5,5,45294.62340679765
1_afr,2003,u5,5,40817.77339029312
5_emr,2003,u5,5,28730.752851486206
2_amr,2003,u5,5,544.8273416757584
4_eur,2004,u5,5,238.85230374336243
5_emr,2004,u5,5,24053.347400665283
6_wpr,2004,u5,5,2726.0077498443425
1_afr,2004,u5,5,36060.537716925144
3_sear,2004,u5,5,39748.36035254598
2_amr,2004,u5,5,496.13203036785126
4_eur,2005,u5,5,214.47105717658997
2_amr,2005,u5,5,470.0582733154297
6_wpr,2005,u5,5,2313.0601038113236
5_emr,2005,u5,5,21071.159399032593
3_sear,2005,u5,5,34686.36278051138
1_afr,2005,u5,5,32117.356459647417
1_afr,2006,u5,5,28785.45731151104
2_amr,2006,u5,5,435.31351137161255
5_emr,2006,u5,5,19473.770533561707
4_eur,2006,u5,5,194.94672858715057
3_sear,2006,u5,5,30114.49937775731
6_wpr,2006,u5,5,1877.8135530296713
5_emr,2007,u5,5,18468.195925712585
1_afr,2007,u5,5,25769.945554584265
6_wpr,2007,u5,5,1655.907251400873
2_amr,2007,u5,5,399.88809311389923
3_sear,2007,u5,5,26013.71389475465
4_eur,2007,u5,5,176.102947473526
5_emr,2008,u5,5,17401.345580101013
6_wpr,2008,u5,5,1481.3608813043684
3_sear,2008,u5,5,22365.559012800455
2_amr,2008,u5,5,378.99015152454376
4_eur,2008,u5,5,161.0745289325714
1_afr,2008,u5,5,23103.78771278262
5_emr,2009,u5,5,16655.31572151184
1_afr,2009,u5,5,21029.473354399204
6_wpr,2009,u5,5,1186.300161179155
4_eur,2009,u5,5,146.74331998825073
2_amr,2009,u5,5,351.6790260076523
3_sear,2009,u5,5,19101.959242343903
6_wpr,2010,u5,5,894.7896514292806
4_eur,2010,u5,5,133.21045017242432
1_afr,2010,u5,5,20018.929358899593
3_sear,2010,u5,5,16203.429993510246
2_amr,2010,u5,5,270.3392028808594
5_emr,2010,u5,5,16199.991956710815
1_afr,2011,u5,5,19564.615686148405
4_eur,2011,u5,5,119.39719653129578
5_emr,2011,u5,5,15937.969137191772
3_sear,2011,u5,5,13606.224022582173
2_amr,2011,u5,5,231.63620334863663
6_wpr,2011,u5,5,690.6995650976896
2_amr,2012,u5,5,214.35318291187286
6_wpr,2012,u5,5,578.7947185635567
5_emr,2012,u5,5,15253.868414878845
3_sear,2012,u5,5,11321.209826990962
1_afr,2012,u5,5,19112.411756515503
4_eur,2012,u5,5,106.72620344161987
1_afr,2013,u5,5,18222.47842618823
5_emr,2013,u5,5,14155.456311225891
2_amr,2013,u5,5,197.44312274456024
4_eur,2013,u5,5,94.93202018737793
