country,year,rpost17
fin,2004,0.2450886219739914
fin,2005,0.19227321445941925
fin,2006,0.12998832762241364
fin,2007,0.0928550660610199
fin,2008,0.07401473075151443
fin,2009,0.07985471934080124
fin,2010,0.08771032840013504
fin,2011,0.14110788702964783
fin,2012,0.15297754108905792
fin,2013,0.16344401240348816
fin,2014,0.13199524581432343
fin,2015,0.10799898207187653
fin,2016,0.08316903561353683
fin,2017,0.06568943709135056
fji,2000,2.334839344024658
fji,2001,2.3149471282958984
fji,2002,2.280299186706543
fji,2003,2.2633769512176514
fji,2004,2.267247200012207
fji,2005,2.289246082305908
fji,2006,2.3604891300201416
fji,2007,2.514202356338501
fji,2008,2.679490327835083
fji,2009,2.833930253982544
fji,2010,2.954615831375122
fji,2011,3.091191291809082
fji,2012,3.2183289527893066
fji,2013,3.334205389022827
fji,2014,3.4243156909942627
fji,2015,3.482797622680664
fji,2016,3.504793405532837
fji,2017,3.5747764110565186
fra,2000,0.4533698856830597
fra,2001,0.47549015283584595
fra,2002,0.417461097240448
fra,2003,0.39438486099243164
fra,2004,0.34667032957077026
fra,2005,0.3272760212421417
fra,2006,0.3121201992034912
fra,2007,0.28546425700187683
fra,2008,0.29487788677215576
fra,2009,0.2943207621574402
fra,2010,0.27092796564102173
fra,2011,0.28735700249671936
fra,2012,0.2743731439113617
fra,2013,0.24735486507415771
fra,2014,0.26514679193496704
fra,2015,0.24524378776550293
fra,2016,0.25267133116722107
fra,2017,0.25605249404907227
fsm,2000,3.1120846271514893
fsm,2001,3.125093460083008
fsm,2002,3.1161375045776367
fsm,2003,3.1040520668029785
fsm,2004,3.005410671234131
fsm,2005,2.9807515144348145
fsm,2006,2.896059036254883
fsm,2007,2.7944304943084717
fsm,2008,2.6646010875701904
fsm,2009,2.5544865131378174
fsm,2010,2.8194615840911865
fsm,2011,2.6353302001953125
fsm,2012,2.4929327964782715
fsm,2013,2.453331470489502
fsm,2014,2.361239433288574
fsm,2015,2.3131089210510254
fsm,2016,2.2342236042022705
fsm,2017,2.1746132373809814
gab,2000,2.35782527923584
gab,2001,2.4058055877685547
gab,2002,2.478624105453491
gab,2003,2.557612895965576
gab,2004,2.623368263244629
gab,2005,2.6476082801818848
gab,2006,2.6397173404693604
gab,2007,2.602057695388794
gab,2008,2.5606935024261475
gab,2009,2.5321836471557617
gab,2010,2.525197982788086
gab,2011,2.5031497478485107
gab,2012,2.4601621627807617
gab,2013,2.415003776550293
gab,2014,2.3704757690429688
gab,2015,2.344399929046631
gab,2016,2.309033155441284
gab,2017,2.270298480987549
gbr,2000,0.3069310784339905
gbr,2001,0.29083916544914246
gbr,2002,0.2918975353240967
gbr,2003,0.26809996366500854
gbr,2004,0.2454562783241272
gbr,2005,0.21307623386383057
gbr,2006,0.23089493811130524
gbr,2007,0.20087090134620667
gbr,2008,0.1934507042169571
gbr,2009,0.17997367680072784
gbr,2010,0.17056582868099213
gbr,2011,0.1390843242406845
gbr,2012,0.15658052265644073
gbr,2013,0.1396923065185547
gbr,2014,0.17895475029945374
gbr,2015,0.15902017056941986
gbr,2016,0.15337100625038147
gbr,2017,0.1505732387304306
geo,2000,2.9171931743621826
geo,2001,2.6649036407470703
geo,2002,2.398836612701416
geo,2003,2.1485493183135986
geo,2004,1.9423847198486328
geo,2005,1.7641088962554932
geo,2006,1.6093510389328003
geo,2007,1.439083218574524
geo,2008,1.296520471572876
geo,2009,1.1668047904968262
geo,2010,1.0045136213302612
geo,2011,0.9122557044029236
geo,2012,0.8724182844161987
geo,2013,0.8612410426139832
geo,2014,0.8658230304718018
geo,2015,0.8736041784286499
geo,2016,0.854766309261322
geo,2017,0.858241081237793
gha,2000,2.7475194931030273
gha,2001,2.820726156234741
gha,2002,2.929574966430664
gha,2003,2.9802424907684326
gha,2004,3.066762924194336
gha,2005,3.10734486579895
gha,2006,3.1568031311035156
gha,2007,3.1142122745513916
gha,2008,2.9692981243133545
gha,2009,2.8679614067077637
gha,2010,2.733314037322998
gha,2011,2.646618604660034
gha,2012,2.685079574584961
gha,2013,2.8274898529052734
gha,2014,2.841196060180664
gha,2015,2.774012804031372
gha,2016,2.728909969329834
gha,2017,2.6494712829589844
